,Awards,Awards_won,Awards_nominated,Oscar_Awards_won,Golden_Globe_Awards_won,Prime_Emmys_Awards_won,BAFTA_Awards_won,Oscar_Awards_nominated,Golden_Globe_Awards_nominated,Prime_Emmys_Awards_nominated,BAFTA_Awards_nominated
584,2 wins & 7 nominations.,2,7,0,0,0,0,0,0,0,0
585,14 wins & 22 nominations.,14,22,0,0,0,0,0,0,0,0
591,1 nomination.,0,1,0,0,0,0,0,0,0,0
594,1 win & 2 nominations.,1,2,0,0,0,0,0,0,0,0
597,1 nomination.,0,1,0,0,0,0,0,0,0,0
601,12 nominations.,0,12,0,0,0,0,0,0,0,0
604,5 wins & 34 nominations.,5,34,0,0,0,0,0,0,0,0
605,Nominated for 1 Primetime Emmy. Another 1 win & 2 nominations.,1,3,0,0,0,0,0,0,1,0
615,9 nominations.,0,9,0,0,0,0,0,0,0,0
620,8 nominations.,0,8,0,0,0,0,0,0,0,0
621,2 nominations.,0,2,0,0,0,0,0,0,0,0
623,1 nomination.,0,1,0,0,0,0,0,0,0,0
624,2 nominations.,0,2,0,0,0,0,0,0,0,0
625,1 win.,1,0,0,0,0,0,0,0,0,0
626,3 wins.,3,0,0,0,0,0,0,0,0,0
631,1 nomination.,0,1,0,0,0,0,0,0,0,0
634,1 win & 5 nominations.,1,5,0,0,0,0,0,0,0,0
637,2 nominations.,0,2,0,0,0,0,0,0,0,0
638,10 wins & 22 nominations.,10,22,0,0,0,0,0,0,0,0
642,1 nomination.,0,1,0,0,0,0,0,0,0,0
